region;year;avg_score
Івано-Франківська область;2019;140.3069737328894
Івано-Франківська область;2020;145.36559734513276
Волинська область;2019;142.87733519433112
Волинська область;2020;145.30389712636136
Вінницька область;2019;139.32719333068678
Вінницька область;2020;143.13394435656463
Дніпропетровська область;2019;139.38135809289082
Дніпропетровська область;2020;141.48656508363777
Донецька область;2019;139.32130102040816
Донецька область;2020;140.4487585082926
Житомирська область;2019;141.14585770498778
Житомирська область;2020;143.9594496302582
Закарпатська область;2019;132.35903890160182
Закарпатська область;2020;136.04820444047087
Запорізька область;2019;138.2280638722555
Запорізька область;2020;138.9108703738144
Київська область;2019;144.16048444762245
Київська область;2020;144.2852869186837
Кіровоградська область;2019;139.76468764532632
Кіровоградська область;2020;141.41827817032353
Луганська область;2019;138.63123103597746
Луганська область;2020;140.9352911896466
Львівська область;2019;146.75246091488128
Львівська область;2020;151.4402438357662
Миколаївська область;2019;137.8667201926937
Миколаївська область;2020;138.9648025324088
Одеська область;2019;137.60563459801264
Одеська область;2020;140.68042106578372
Полтавська область;2019;141.1449936874818
Полтавська область;2020;143.0638045808417
Рівненська область;2019;139.10791113791717
Рівненська область;2020;145.51385836385836
Сумська область;2019;140.86154559915164
Сумська область;2020;145.0845649855249
Тернопільська область;2019;141.1936074173478
Тернопільська область;2020;144.6945768772348
Харківська область;2019;144.12282105030891
Харківська область;2020;145.49310100831417
Херсонська область;2019;137.6580227942118
Херсонська область;2020;139.0223091076357
Хмельницька область;2019;140.4542069992554
Хмельницька область;2020;144.19422767248855
Черкаська область;2019;142.1001991535972
Черкаська область;2020;143.38831033585004
Чернівецька область;2019;133.1912654943788
Чернівецька область;2020;140.99635456638526
Чернігівська область;2019;143.22106741573035
Чернігівська область;2020;143.75914348233823
м.Київ;2019;148.02905976369823
м.Київ;2020;150.51607492311993
